case_id,utt_n,speaker_n,justice_utt_n,nonjustice_utt_n,tok_n,tok_med,q_rate,empty_n,pet_utt_n,resp_utt_n,winning_side,side_total,pet_share,resp_share
03-287 ,230,10,0,230,9373,22.0,0.26521739130434785,0,0,0, RESPONDENT,0,,
03-1423 ,229,10,0,229,10961,20.0,0.2183406113537118,0,0,0, PETITIONER,0,,
04-944 ,229,11,0,229,9315,18.0,0.22270742358078602,0,0,0, PETITIONER,0,,
05-5224 ,227,11,0,227,11235,26.0,0.23788546255506607,0,0,0, RESPONDENT,0,,
05-409 ,227,10,0,227,10323,29.0,0.19383259911894274,0,0,0, PETITIONER,0,,
03-1696 ,227,9,0,227,9010,22.0,0.23788546255506607,0,0,0, PETITIONER,0,,
03-725 ,225,9,0,225,9644,20.0,0.21777777777777776,0,0,0, RESPONDENT,0,,
05-915 ,223,11,0,223,9612,25.0,0.33183856502242154,0,0,0,,0,,
05-1074 ,222,12,0,222,10683,32.0,0.28378378378378377,0,0,0, RESPONDENT,0,,
06-484 ,221,13,0,221,9890,31.0,0.27149321266968324,0,0,0, PETITIONER,0,,
05-9264 ,221,10,0,221,9797,28.0,0.34841628959276016,0,0,0, RESPONDENT,0,,
05-908 ,221,11,0,221,9679,31.0,0.3257918552036199,0,0,0, PETITIONER,0,,
04-6432 ,220,11,0,220,10739,21.0,0.2318181818181818,0,0,0, RESPONDENT,0,,
05-785 ,220,10,0,220,8781,29.5,0.2909090909090909,0,0,0, PETITIONER,0,,
05-1157 ,220,10,0,220,10497,26.0,0.2772727272727273,0,0,0, PETITIONER,0,,
04-368 ,220,9,0,220,9800,19.0,0.2409090909090909,0,0,0, PETITIONER,0,,
05-5992 ,218,9,0,218,11345,32.5,0.24311926605504589,0,0,0, PETITIONER,0,,
04-1581 ,218,10,0,218,10228,23.0,0.22477064220183487,0,0,0, PETITIONER,0,,
03-1395 ,218,9,0,218,9879,20.5,0.24311926605504589,0,0,0, PETITIONER,0,,
03-9659 ,217,9,0,217,9517,19.0,0.29493087557603687,0,0,0, PETITIONER,0,,
05-848 ,217,10,0,217,10185,27.0,0.2903225806451613,0,0,0, PETITIONER,0,,
03-1237 ,217,11,0,217,9272,21.0,0.2534562211981567,0,0,0, PETITIONER,0,,
03-9877 ,217,11,0,217,10583,34.0,0.2534562211981567,0,0,0, PETITIONER,0,,
03-1601 ,217,10,0,217,9768,21.0,0.19815668202764977,0,0,0, PETITIONER,0,,
06-5247 ,216,12,0,216,9815,27.0,0.3055555555555556,0,0,0, RESPONDENT,0,,
03-931 ,215,10,0,215,9222,25.0,0.26046511627906976,0,0,0, PETITIONER,0,,
04-1186 ,214,11,0,214,9615,21.0,0.21495327102803738,0,0,0, PETITIONER,0,,
05-128 ,214,10,0,214,9830,22.5,0.2102803738317757,0,0,0, PETITIONER,0,,
05-493 ,213,10,0,213,8798,19.0,0.2347417840375587,0,0,0, PETITIONER,0,,
04-881 ,212,10,0,212,7259,8.0,0.09905660377358491,0,0,0, RESPONDENT,0,,
05-260 ,212,10,0,212,10038,28.5,0.2688679245283019,0,0,0, RESPONDENT,0,,
05-83 ,210,11,0,210,10670,29.0,0.2571428571428571,0,0,0, PETITIONER,0,,
04-1329 ,210,11,0,210,11267,26.5,0.16666666666666666,0,0,0, PETITIONER,0,,
05-1629 ,210,10,0,210,9934,25.0,0.3380952380952381,0,0,0, PETITIONER,0,,
04-593 ,210,10,0,210,9474,24.5,0.21428571428571427,0,0,0, PETITIONER,0,,
05-1240 ,209,11,0,209,9690,29.0,0.2583732057416268,0,0,0, RESPONDENT,0,,
03-1160 ,209,9,0,209,10700,21.0,0.23923444976076555,0,0,0, RESPONDENT,0,,
04-1170 ,208,10,0,208,9436,25.0,0.18269230769230768,0,0,0, PETITIONER,0,,
06-480 ,207,13,0,207,9822,33.0,0.26570048309178745,0,0,0, PETITIONER,0,,
03-1566 ,207,10,0,207,8389,22.0,0.2753623188405797,0,0,0, RESPONDENT,0,,
03-855 ,205,11,0,205,10416,28.0,0.3121951219512195,0,0,0, PETITIONER,0,,
04-52 ,204,11,0,204,8827,22.0,0.23529411764705882,0,0,0, PETITIONER,0,,
06-5754 ,204,11,0,204,9609,34.5,0.3235294117647059,0,0,0, RESPONDENT,0,,
04-1350 ,203,11,0,203,11555,24.0,0.29064039408866993,0,0,0, PETITIONER,0,,
05-380 ,202,9,0,202,10137,31.0,0.24257425742574257,0,0,0, PETITIONER,0,,
06-84 ,201,11,0,201,9347,24.0,0.2935323383084577,0,0,0, PETITIONER,0,,
105original ,198,11,0,198,9474,22.0,0.18686868686868688,0,0,0,,0,,
05-465 ,198,10,0,198,10240,27.5,0.18181818181818182,0,0,0, PETITIONER,0,,
04-433 ,198,10,0,198,9210,26.5,0.21717171717171718,0,0,0, PETITIONER,0,,
06-116 ,197,10,0,197,10074,27.0,0.28426395939086296,0,0,0, PETITIONER,0,,
04-563 ,197,11,0,197,7974,23.0,0.20812182741116753,0,0,0, PETITIONER,0,,
05-593 ,194,10,0,194,9324,37.0,0.25257731958762886,0,0,0, RESPONDENT,0,,
05-1256 ,191,10,0,191,10009,33.0,0.3036649214659686,0,0,0, PETITIONER,0,,
05-381 ,191,11,0,191,10193,31.0,0.2774869109947644,0,0,0, PETITIONER,0,,
05-705 ,187,11,0,187,10513,30.0,0.24064171122994651,0,0,0, RESPONDENT,0,,
03-1500 ,184,10,0,184,9928,37.0,0.29347826086956524,0,0,0, RESPONDENT,0,,
04-603 ,184,11,0,184,6848,20.0,0.21739130434782608,0,0,0, RESPONDENT,0,,
04-1140 ,182,10,0,182,8379,18.5,0.2087912087912088,0,0,0, RESPONDENT,0,,
04-1332 ,182,10,0,182,9174,27.5,0.21428571428571427,0,0,0, PETITIONER,0,,
04-1144 ,179,12,0,179,8177,34.0,0.2681564245810056,0,0,0, PETITIONER,0,,
03-9046 ,179,9,0,179,8777,27.0,0.22346368715083798,0,0,0, PETITIONER,0,,
04-607 ,179,10,0,179,10084,24.0,0.26256983240223464,0,0,0, RESPONDENT,0,,
05-1272 ,175,10,0,175,10447,31.0,0.32,0,0,0, PETITIONER,0,,
05-11284 ,170,9,0,170,8849,27.0,0.2529411764705882,0,0,0, PETITIONER,0,,
03-9685 ,169,9,0,169,10152,34.0,0.22485207100591717,0,0,0, RESPONDENT,0,,
04-340 ,168,10,0,168,9172,23.5,0.26785714285714285,0,0,0, RESPONDENT,0,,
04-277 ,165,9,0,165,9923,15.0,0.18181818181818182,0,0,0, PETITIONER,0,,
04-169 ,162,10,0,162,8316,26.0,0.22839506172839505,0,0,0, PETITIONER,0,,
06-593 ,162,11,0,162,9006,26.0,0.2716049382716049,0,0,0, PETITIONER,0,,
03-1039 ,161,8,0,161,8700,27.0,0.2422360248447205,0,0,0, PETITIONER,0,,
05-130 ,158,9,0,158,10719,31.5,0.22151898734177214,0,0,0, PETITIONER,0,,
05-9222 ,156,11,0,156,9843,26.0,0.3141025641025641,0,0,0, RESPONDENT,0,,
04-1264 ,153,9,0,153,11073,40.0,0.20261437908496732,0,0,0, PETITIONER,0,,
05-595 ,150,11,0,150,8665,21.0,0.28,0,0,0, PETITIONER,0,,
04-163 ,149,9,0,149,8665,32.0,0.2550335570469799,0,0,0, PETITIONER,0,,
04-1618 ,149,9,0,149,7702,21.0,0.18791946308724833,0,0,0, PETITIONER,0,,
04-37 ,144,10,0,144,9781,33.0,0.2916666666666667,0,0,0, PETITIONER,0,,
05-1382 ,141,10,0,141,10559,38.0,0.3049645390070922,0,0,0,,0,,
03-1693 ,140,11,0,140,8869,30.5,0.37857142857142856,0,0,0, RESPONDENT,0,,
05-1541 ,138,9,0,138,6866,35.5,0.2536231884057971,0,0,0, RESPONDENT,0,,
03-1293 ,136,8,0,136,6572,21.5,0.22058823529411764,0,0,0, RESPONDENT,0,,
06-5618 ,127,10,0,127,9112,44.0,0.33070866141732286,0,0,0, RESPONDENT,0,,
06-102 ,91,8,0,91,5844,42.0,0.26373626373626374,0,0,0, PETITIONER,0,,
